"","state","year","district","RepVotes","RepStatus","DemVotes","DemStatus","rep_votes_major_percent","dem_votes_major_percent","district_id","WinnerParty","TotalVotesMajor","vote_margin","winner_party","RepVotesMajorPercent","DemVotesMajorPercent"
"85","Connecticut",2020,"4",130627,"Challenger",224432,"Incumbent",36.79,63.21,"CT04","D",355059,0.264195528,NA,NA,NA
"86","Connecticut",2020,"5",151988,"Challenger",192484,"Incumbent",44.12,55.88,"CT05","D",344472,0.117559627,NA,NA,NA
"87","Delaware",2020,"AL",196392,"Challenger",281382,"Incumbent",41.11,58.89,"DE00","D",477774,0.177887453,NA,NA,NA
"88","Florida",2020,"1",283352,"Incumbent",149172,"Challenger",65.51,34.49,"FL01","R",432524,0.31022556,NA,NA,NA
"89","Florida",2020,"2",305337,"Incumbent",0,NA,100,0,"FL02","R",305337,0.978181485,NA,NA,NA
"90","Florida",2020,"3",223075,"Challenger",167326,"Challenger",57.14,42.86,"FL03","R",390401,0.142799327,NA,NA,NA
"91","Florida",2020,"4",308497,"Incumbent",196423,"Challenger",61.1,38.9,"FL04","R",504920,0.221963875,NA,NA,NA
"92","Florida",2020,"5",117510,"Challenger",219463,"Incumbent",34.87,65.13,"FL05","D",336973,0.302555398,NA,NA,NA
"93","Florida",2020,"6",265393,"Incumbent",172305,"Challenger",60.63,39.37,"FL06","R",437698,0.21267632,NA,NA,NA
"94","Florida",2020,"7",175750,"Challenger",224946,"Incumbent",43.86,56.14,"FL07","D",400696,0.122776369,NA,NA,NA
"95","Florida",2020,"8",282093,"Incumbent",177695,"Challenger",61.35,38.65,"FL08","R",459788,0.227056817,NA,NA,NA
"96","Florida",2020,"9",188889,"Challenger",240724,"Incumbent",43.97,56.03,"FL09","D",429613,0.120655101,NA,NA,NA
"97","Florida",2020,"10",136889,"Challenger",239434,"Incumbent",36.38,63.62,"FL10","D",376323,0.272491982,"D",36.38,63.62
"98","Florida",2020,"11",316979,"Incumbent",158094,"Challenger",66.72,33.28,"FL11","R",475073,0.334443338,"R",66.72,33.28
"99","Florida",2020,"12",284941,"Incumbent",168194,"Challenger",62.88,37.12,"FL12","R",453135,0.257642866,"R",62.88,37.12
"100","Florida",2020,"13",190713,"Challenger",215405,"Incumbent",46.96,53.04,"FL13","D",406118,0.060800063,"D",46.96,53.04
"101","Florida",2020,"14",147896,"Challenger",224240,"Incumbent",39.74,60.26,"FL14","D",372136,0.205150805,"D",39.74,60.26
"102","Florida",2020,"15",216374,"Challenger",174297,"Challenger",55.39,44.61,"FL15","R",390671,0.107704437,"R",55.39,44.61
"103","Florida",2020,"16",269001,"Incumbent",215683,"Challenger",55.5,44.5,"FL16","R",484684,0.110005694,"R",55.5,44.5
"104","Florida",2020,"17",266514,"Incumbent",140487,"Challenger",65.48,34.52,"FL17","R",407001,0.309647888,"R",65.48,34.52
"105","Florida",2020,"18",253286,"Incumbent",186674,"Challenger",57.57,42.43,"FL18","R",439960,0.151404673,"R",57.57,42.43
"106","Florida",2020,"19",272440,"Challenger",172146,"Challenger",61.28,38.72,"FL19","R",444586,0.22558965,"R",61.28,38.72
"107","Florida",2020,"20",68748,"Challenger",253661,"Incumbent",21.32,78.68,"FL20","D",322409,0.573535478,"D",21.32,78.68
"108","Florida",2020,"21",157612,"Challenger",237925,"Incumbent",39.85,60.15,"FL21","D",395537,0.203048008,"D",39.85,60.15
