"","state","year","district","RepVotes","RepStatus","DemVotes","DemStatus","rep_votes_major_percent","dem_votes_major_percent","district_id","WinnerParty","TotalVotesMajor","vote_margin"
"156","Indiana",2020,"6",225319,"Incumbent",91103,"Challenger",71.21,28.79,"IN06","R",316422,0.424167725
"157","Indiana",2020,"7",106146,"Challenger",176422,"Incumbent",37.56,62.44,"IN07","D",282568,0.248704737
"158","Indiana",2020,"8",214643,"Incumbent",95691,"Challenger",69.17,30.83,"IN08","R",310334,0.383303151
"159","Indiana",2020,"9",222057,"Incumbent",122566,"Challenger",64.43,35.57,"IN09","R",344623,0.288695183
"160","Iowa",2020,"1",212088,"Challenger",201347,"Incumbent",51.3,48.7,"IA01","R",413435,0.0259799
"161","Iowa",2020,"2",196964,"Challenger",196958,"Challenger",50,50,"IA02","R",393922,1.52e-05
"162","Iowa",2020,"3",212997,"Challenger",219205,"Incumbent",49.28,50.72,"IA03","D",432202,0.014363654
"163","Iowa",2020,"4",237369,"Challenger",144761,"Challenger",62.12,37.88,"IA04","R",382130,0.242346845
"164","Kansas",2020,"1",208229,"Challenger",84393,"Challenger",71.16,28.84,"KS01","R",292622,0.423194428
"165","Kansas",2020,"2",185464,"Challenger",136650,"Challenger",57.58,42.42,"KS02","R",322114,0.151542622
"166","Kansas",2020,"3",178773,"Challenger",220049,"Incumbent",44.83,55.17,"KS03","D",398822,0.103494792
"167","Kansas",2020,"4",203432,"Incumbent",116166,"Challenger",63.65,36.35,"KS04","R",319598,0.273049268
"168","Kentucky",2020,"1",246329,"Incumbent",82141,"Challenger",74.99,25.01,"KY01","R",328470,0.499856912
"169","Kentucky",2020,"2",255735,"Incumbent",94643,"Challenger",72.99,27.01,"KY02","R",350378,0.45976631
"170","Kentucky",2020,"3",137425,"Challenger",230672,"Incumbent",37.33,62.67,"KY03","D",368097,0.253321815
"171","Kentucky",2020,"4",256613,"Incumbent",125896,"Challenger",67.09,32.91,"KY04","R",382509,0.34173575
"172","Kentucky",2020,"5",250914,"Incumbent",47056,"Challenger",84.21,15.79,"KY05","R",297970,0.684156123
"173","Kentucky",2020,"6",216948,"Incumbent",155011,"Challenger",58.33,41.67,"KY06","R",371959,0.166515664
"174","Louisiana",2020,"1",270330,"Incumbent",94730,"Challenger",74.05,25.95,"LA01","R",365060,0.481016819
"175","Louisiana",2020,"3",230480,"Incumbent",60852,"Challenger",79.11,20.89,"LA03","R",291332,0.582249804
"176","Louisiana",2020,"4",185265,"Incumbent",78157,"Challenger",70.33,29.67,"LA04","R",263422,0.406602334
"177","Louisiana",2020,"2",47575,"Challenger",201636,"Incumbent",19.09,80.91,"LA02","D",249211,0.618195023
"178","Louisiana",2020,"5",102533,"Challenger",50812,"Challenger",66.86,33.14,"LA05","R",153345,0.334494115
"179","Louisiana",2020,"5",49183,"Challenger",0,NA,100,0,"LA05","R",49183,0.387511945
"180","Louisiana",2020,"6",265706,"Incumbent",95541,"Challenger",73.55,26.45,"LA06","R",361247,0.471048895
"181","Maine",2020,"1",165008,"Challenger",271004,"Incumbent",37.84,62.16,"ME01","D",436012,0.243103401
"182","Maine",2020,"2",175228,"Challenger",197974,"Incumbent",46.95,53.05,"ME02","D",373202,0.060948226
"183","Maryland",2020,"1",250901,"Incumbent",143877,"Challenger",63.55,36.45,"MD01","R",394778,0.2710992
"184","Maryland",2020,"2",106355,"Challenger",224836,"Incumbent",32.11,67.89,"MD02","D",331191,0.357742209
"185","Maryland",2020,"3",112117,"Challenger",260358,"Incumbent",30.1,69.9,"MD03","D",372475,0.397989127
"186","Maryland",2020,"4",71671,"Challenger",282119,"Incumbent",20.26,79.74,"MD04","D",353790,0.594838746
"187","Maryland",2020,"5",123525,"Challenger",274210,"Incumbent",31.06,68.94,"MD05","D",397735,0.378857782
"188","Maryland",2020,"6",143599,"Challenger",215540,"Incumbent",39.98,60.02,"MD06","D",359139,0.200315198
"189","Maryland",2020,"7",92825,"Challenger",237084,"Incumbent",28.14,71.86,"MD07","D",329909,0.437269065
"190","Maryland",2020,"8",127157,"Challenger",274716,"Incumbent",31.64,68.36,"MD08","D",401873,0.367178188
"191","Massachusetts",2020,"1",0,NA,275376,"Incumbent",0,100,"MA01","D",275376,0.968472198
"192","Massachusetts",2020,"2",132220,"Challenger",249854,"Incumbent",34.61,65.39,"MA02","D",382074,0.307882766
"193","Massachusetts",2020,"3",0,NA,286896,"Incumbent",0,100,"MA03","D",286896,0.976845268
"194","Massachusetts",2020,"4",160474,"Challenger",251102,"Challenger",38.99,61.01,"MA04","D",411576,0.220197485
"195","Massachusetts",2020,"5",101351,"Challenger",294427,"Incumbent",25.61,74.39,"MA05","D",395778,0.487839142
"196","Massachusetts",2020,"6",150695,"Challenger",286377,"Incumbent",34.48,65.52,"MA06","D",437072,0.310433979
"197","Massachusetts",2020,"7",0,NA,267362,"Incumbent",0,100,"MA07","D",267362,0.855345935
"198","Massachusetts",2020,"8",0,NA,310940,"Incumbent",0,100,"MA08","D",310940,0.76825111
"199","Massachusetts",2020,"9",154261,"Challenger",260262,"Incumbent",37.21,62.79,"MA09","D",414523,0.255718018
"200","Michigan",2020,"1",256581,"Incumbent",153328,"Challenger",62.59,37.41,"MI01","R",409909,0.251892493
"201","Michigan",2020,"2",238711,"Incumbent",154122,"Challenger",60.77,39.23,"MI02","R",392833,0.215330688
"202","Michigan",2020,"3",213649,"Challenger",189769,"Challenger",52.96,47.04,"MI03","R",403418,0.059194186
"203","Michigan",2020,"4",242621,"Incumbent",120802,"Challenger",66.76,33.24,"MI04","R",363423,0.335198928
"204","Michigan",2020,"5",150772,"Challenger",196599,"Incumbent",43.4,56.6,"MI05","D",347371,0.131925233
"205","Michigan",2020,"6",211496,"Incumbent",152085,"Challenger",58.17,41.83,"MI06","R",363581,0.163405128
"206","Michigan",2020,"7",227524,"Incumbent",159743,"Challenger",58.75,41.25,"MI07","R",387267,0.17502395
"207","Michigan",2020,"8",202525,"Challenger",217922,"Incumbent",48.17,51.83,"MI08","D",420447,0.036620549
"208","Michigan",2020,"9",153296,"Challenger",230318,"Incumbent",39.96,60.04,"MI09","D",383614,0.200779951
"209","Michigan",2020,"10",271607,"Challenger",138179,"Challenger",66.28,33.72,"MI10","R",409786,0.325604096
"210","Michigan",2020,"11",215405,"Challenger",226128,"Incumbent",48.79,51.21,"MI11","D",441533,0.02428584
"211","Michigan",2020,"12",117719,"Challenger",254957,"Incumbent",31.59,68.41,"MI12","D",372676,0.368250169
"212","Michigan",2020,"13",53311,"Challenger",223205,"Incumbent",19.28,80.72,"MI13","D",276516,0.614409293
"213","Michigan",2020,"14",62664,"Challenger",271370,"Incumbent",18.76,81.24,"MI14","D",334034,0.624804661
"214","Minnesota",2020,"1",179234,"Incumbent",167890,"Challenger",51.63,48.37,"MN01","R",347124,0.032679965
"215","Minnesota",2020,"2",194954,"Challenger",204534,"Incumbent",48.8,51.2,"MN02","D",399488,0.023980695
"216","Minnesota",2020,"3",196625,"Challenger",246666,"Incumbent",44.36,55.64,"MN03","D",443291,0.112885215
"217","Minnesota",2020,"4",112730,"Challenger",245813,"Incumbent",31.44,68.56,"MN04","D",358543,0.371177237
"218","Minnesota",2020,"5",102878,"Challenger",255924,"Incumbent",28.67,71.33,"MN05","D",358802,0.426547232
"219","Minnesota",2020,"6",270901,"Incumbent",140853,"Challenger",65.79,34.21,"MN06","R",411754,0.315839069
"220","Minnesota",2020,"7",194066,"Challenger",144840,"Incumbent",57.26,42.74,"MN07","R",338906,0.145249715
"221","Minnesota",2020,"8",223432,"Incumbent",147853,"Challenger",60.18,39.82,"MN08","R",371285,0.203560607
"222","Mississippi",2020,"1",228787,"Incumbent",104008,"Challenger",68.75,31.25,"MS01","R",332795,0.374942532
"223","Mississippi",2020,"2",101010,"Challenger",196224,"Incumbent",33.98,66.02,"MS02","D",297234,0.320333475
"224","Mississippi",2020,"3",221064,"Incumbent",120782,"Challenger",64.67,35.33,"MS03","R",341846,0.293354317
"225","Mississippi",2020,"4",255971,"Incumbent",0,NA,100,0,"MS04","R",255971,1
"226","Missouri",2020,"1",59940,"Challenger",249087,"Challenger",19.4,80.6,"MO01","D",309027,0.612072732
"227","Missouri",2020,"2",233157,"Incumbent",204540,"Challenger",53.27,46.73,"MO02","R",437697,0.065380846
"228","Missouri",2020,"3",282866,"Incumbent",116095,"Challenger",70.9,29.1,"MO03","R",398961,0.41801329
"229","Missouri",2020,"4",245247,"Incumbent",107635,"Challenger",69.5,30.5,"MO04","R",352882,0.389966051
"230","Missouri",2020,"5",135934,"Challenger",207180,"Incumbent",39.62,60.38,"MO05","D",343114,0.207645272
"231","Missouri",2020,"6",258709,"Incumbent",118926,"Challenger",68.51,31.49,"MO06","R",377635,0.37015372
